playerid,namefirst,namelast
barryja01,Jack,Barry
barryje01,Jeff,Barry
barryke01,Kevin,Barry
barryri01,Rich,Barry
barrysh01,Shad,Barry
barryto01,Tom,Barry
bartedi01,Dick,Bartell
barteki01,Kimera,Bartee
barthbo01,Bob,Barthelson
barthji01,Jimmy,Barthmaier
barthjo01,John,Barthold
barthle01,Les,Bartholomew
bartito01,Tony,Bartirome
bartlbi01,Bill,Bartley
bartlbo01,Boyd,Bartley
bartlir01,Irv,Bartling
bartlja01,Jason,Bartlett
bartobo01,Bob,Barton
bartobr01,Brian,Barton
bartocl01,Cliff,Bartosh
bartoda01,Dave,Bartosch
bartoda02,Daric,Barton
bartoha01,Harry,Barton
bartosh01,Shawn,Barton
bartovi01,Vince,Barton
bartsch01,Charlie,Bartson
barziph01,Philip,Barzilla
basakch01,Chris,Basak
basgamo01,Monty,Basgall
bashaal01,Al,Bashang
bashowa01,Walt,Bashore
basined01,Eddie,Basinski
baskeji01,Jim,Baskette
bassan01,Anthony,Bass
bassbr01,Brian,Bass
bassdi01,Dick,Bass
bassdo01,Doc,Bass
bassech01,Charley,Bassett
bassich01,Chris,Bassitt
bassjo01,John,Bass
basske01,Kevin,Bass
bassljo01,Johnny,Bassler
bassno01,Norm,Bass
bassra01,Randy,Bass
bastaan01,Antonio,Bastardo
bastich01,Charlie,Bastian
batchem01,Emil,Batch
batchjo01,Joe,Batchelder
batchri01,Rich,Batchelor
batemjo01,John,Bateman
batesaa01,Aaron,Bates
batesbi01,Billy,Bates
batesbu01,Bud,Bates
batesch01,Charlie,Bates
batesde01,Del,Bates
batesdi01,Dick,Bates
batesfr01,Frank,Bates
batesja01,Jason,Bates
batesjo01,John,Bates
batesjo02,Johnny,Bates
batesra01,Ray,Bates
bathebi01,Bill,Bathe
batiske01,Kevin,Batiste
batiski01,Kim,Batiste
batismi01,Miguel,Batista
batisra01,Rafael,Batista
batisto01,Tony,Batista
batscbi01,Bill,Batsch
battala01,Larry,Battam
batteea01,Earl,Battey
battege01,George,Batten
battijo01,Joe,Battin
battlal01,Allen,Battle
battlho01,Howard,Battle
battlji01,Jim,Battle
battoch01,Chris,Batton
battsma01,Matt,Batts
baueral01,Al,Bauer
